ECE,Brier,NLL,Avg_Conf,Acc,High_Conf_Error,seed,setting,shot,method,N
0.000523,0.250001,0.693148,0.500523,0.500000,0.000000,20230801,common,0,EviDDIE w/o EVI,4010
0.002842,0.250010,0.693167,0.502842,0.500000,0.000000,20230801,common,0,Softmax baseline,4010
0.000072,0.250000,0.693147,0.500072,0.500000,0.000000,20230801,fewer,0,EviDDIE,816
0.002306,0.250011,0.693168,0.502306,0.500000,0.000000,20230801,fewer,0,EviDDIE w/o EVI,816
0.003933,0.250016,0.693180,0.503933,0.500000,0.000000,20230801,fewer,0,Softmax baseline,816
0.000066,0.250000,0.693147,0.500066,0.500000,0.000000,20230801,rare,0,EviDDIE,216
0.002649,0.250011,0.693170,0.502649,0.500000,0.000000,20230801,rare,0,EviDDIE w/o EVI,216
0.004351,0.250020,0.693188,0.504351,0.500000,0.000000,20230801,rare,0,Softmax baseline,216
0.000100,0.250000,0.693147,0.500100,0.500000,0.000000,20240115,common,0,EviDDIE,4010
0.000523,0.250001,0.693148,0.500523,0.500000,0.000000,20240115,common,0,EviDDIE w/o EVI,4010
0.002842,0.250010,0.693167,0.502842,0.500000,0.000000,20240115,common,0,Softmax baseline,4010
0.000072,0.250000,0.693147,0.500072,0.500000,0.000000,20240115,fewer,0,EviDDIE,816
0.002306,0.250011,0.693169,0.502306,0.500000,0.000000,20240115,fewer,0,EviDDIE w/o EVI,816
0.003933,0.250016,0.693180,0.503933,0.500000,0.000000,20240115,fewer,0,Softmax baseline,816
0.000066,0.250000,0.693147,0.500066,0.500000,0.000000,20240115,rare,0,EviDDIE,216
0.002649,0.250011,0.693170,0.502649,0.500000,0.000000,20240115,rare,0,EviDDIE w/o EVI,216
0.004351,0.250020,0.693188,0.504351,0.500000,0.000000,20240115,rare,0,Softmax baseline,216
0.000100,0.250000,0.693147,0.500100,0.500000,0.000000,20240520,common,0,EviDDIE,4010
0.000523,0.250001,0.693148,0.500523,0.500000,0.000000,20240520,common,0,EviDDIE w/o EVI,4010
0.002842,0.250010,0.693167,0.502842,0.500000,0.000000,20240520,common,0,Softmax baseline,4010
0.000072,0.250000,0.693147,0.500072,0.500000,0.000000,20240520,fewer,0,EviDDIE,816
0.002306,0.250010,0.693168,0.502306,0.500000,0.000000,20240520,fewer,0,EviDDIE w/o EVI,816
